meter_id,ENERGY SOURCE,startDate,endDate,usage,cost
17250526,Electric,2023-11-22,2023-12-22,2943.0,370.46
17250526,Electric,2023-10-24,2023-11-22,2606.0,302.85
17250526,Electric,2023-09-25,2023-10-24,2410.0,254.51
17250526,Electric,2023-08-25,2023-09-25,2180.0,248.92
17250526,Electric,2023-07-25,2023-08-25,3074.0,388.38
17250526,Electric,2023-06-21,2023-07-25,3902.0,321.06
17250526,Electric,2023-04-27,2023-06-21,4096.0,615.59
17250526,Electric,2023-03-24,2023-04-27,1649.0,63.38
17250526,Electric,2023-02-24,2023-03-24,1357.0,188.26
17250526,Electric,2023-01-24,2023-02-24,3174.0,104.02
17250526,Electric,2022-12-26,2023-01-24,0.0,43.51
17250526,Electric,2022-10-26,2022-12-26,2678.0,162.67
17250526,Electric,2022-08-26,2022-10-26,2742.0,232.17
17250526,Electric,2022-06-27,2022-08-26,3312.0,260.36
17250526,Electric,2022-02-24,2022-06-27,3524.0,380.25
17250526,Electric,2021-12-28,2022-02-24,1961.0,134.65
17250526,Electric,2021-10-22,2021-12-28,1907.0,126.82
17250526,Electric,2021-08-24,2021-10-22,1703.0,152.45
17250526,Electric,2021-06-22,2021-08-24,2120.0,64.43
17250526,Electric,2021-04-22,2021-06-22,1467.0,84.05
17250526,Electric,2021-02-23,2021-04-22,1267.0,75.41
17250526,Electric,2020-12-28,2021-02-23,1667.0,106.77
17250526,Electric,2020-10-23,2020-12-28,1723.0,112.61
17250526,Electric,2020-08-24,2020-10-23,1583.0,155.09
17250526,Electric,2020-06-19,2020-08-24,2245.0,42.56
17250526,Electric,2020-04-23,2020-06-19,1242.0,59.48
17250526,Electric,2020-02-26,2020-04-23,1327.0,105.04
17250526,Electric,2019-12-20,2020-02-26,2273.0,128.0
17250526,Electric,2019-10-22,2019-12-20,2208.0,145.67
17250526,Electric,2019-08-21,2019-10-22,1813.0,138.34
17250526,Electric,2019-06-24,2019-08-21,1749.0,148.22
17250526,Electric,2019-04-30,2019-06-24,1256.0,125.18
17250526,Electric,2019-02-22,2019-04-30,2158.0,118.02
17250526,Electric,2018-12-27,2019-02-22,2158.0,189.82
17250526,Electric,2018-10-22,2018-12-27,2751.0,134.17
17250526,Electric,2018-08-22,2018-10-22,1924.0,133.23
17250526,Electric,2018-06-24,2018-08-22,1877.0,143.06
17250526,Electric,2018-04-20,2018-06-24,1573.0,138.07
17250526,Electric,2018-02-20,2018-04-20,1660.0,106.41
17250526,Electric,2017-12-22,2018-02-20,2298.0,126.56
17250526,Electric,2017-10-24,2017-12-22,2100.0,140.88
17250526,Electric,2017-08-28,2017-10-24,1508.0,110.99
17250526,Electric,2017-06-26,2017-08-28,1657.0,131.23
17250526,Electric,2017-04-25,2017-06-26,1394.0,118.95
17250526,Electric,2017-02-23,2017-04-25,1463.0,57.05
17250526,Electric,2016-12-27,2017-02-23,1792.0,126.47
17250526,Electric,2016-10-26,2016-12-27,2007.0,126.89
17250526,Electric,2016-08-26,2016-10-26,2410.0,159.7
17250526,Electric,2016-06-24,2016-08-26,2866.0,155.32
17250526,Electric,2016-04-22,2016-06-24,2318.0,147.2
17250526,Electric,2016-02-21,2016-04-22,2103.0,139.44
17250526,Electric,2015-12-27,2016-02-21,2342.0,139.74
17250526,Electric,2015-10-26,2015-12-27,2862.0,138.0
17250526,Electric,2015-08-25,2015-10-26,3509.0,189.75
17250526,Electric,2015-06-24,2015-08-25,3626.0,198.47
17250526,Electric,2015-04-24,2015-06-24,2623.0,158.08
17250526,Electric,2015-02-24,2015-04-24,2261.0,141.69
17250526,Electric,2015-01-26,2015-02-24,1309.0,61.64
17250526,Electric,2014-10-25,2015-01-26,4500.0,
17250526,Electric,2014-08-26,2014-10-24,3753.0,167.35
17250526,Electric,2014-06-24,2014-08-25,4231.0,168.5
17250526,Electric,2014-04-23,2014-06-23,4020.0,125.76
17250526,Electric,2014-02-24,2014-04-22,3155.0,115.6
17250526,Electric,2013-12-21,2014-02-23,3386.0,143.46
17250526,Electric,2013-10-26,2013-12-20,2910.0,133.65
17250526,Electric,2013-08-28,2013-10-25,3924.0,0.0
17250526,Electric,2013-06-25,2013-08-27,4963.0,0.0
17250526,Electric,2013-04-23,2013-06-24,4438.0,0.0
17250526,Electric,2013-02-25,2013-04-22,3102.0,0.0
17250526,Electric,2013-02-08,2013-02-24,874.0,0.0
17250526,Electric,2012-12-27,2013-02-07,2258.0,0.0
17250526,Electric,2012-10-25,2012-12-26,3228.0,0.0
17250526,Electric,2012-08-25,2012-10-24,4067.0,0.0
17250526,Electric,2012-06-26,2012-08-24,4400.0,0.0
17250526,Electric,2012-04-27,2012-06-25,4405.0,0.0
17250525,Electric,2023-11-22,2023-12-27,39680.0,1518.18
17250525,Electric,2023-10-25,2023-11-22,33280.0,1604.13
17250525,Electric,2023-09-26,2023-10-25,35840.0,1445.29
17250525,Electric,2023-08-24,2023-09-26,41840.0,1551.17
17250525,Electric,2023-07-27,2023-08-24,36080.0,1436.66
17250525,Electric,2023-06-23,2023-07-27,44880.0,1521.35
17250525,Electric,2023-05-24,2023-06-23,38480.0,1438.61
17250525,Electric,2023-04-26,2023-05-24,33200.0,1501.16
17250525,Electric,2023-03-28,2023-04-26,34320.0,1449.87
17250525,Electric,2023-02-27,2023-03-28,32480.0,1347.55
17250525,Electric,2023-01-27,2023-02-27,35520.0,1175.61
17250525,Electric,2022-12-29,2023-01-27,31520.0,1186.49
17250525,Electric,2022-11-29,2022-12-29,33520.0,1144.83
17250525,Electric,2022-10-24,2022-11-29,42000.0,1310.72
17250525,Electric,2022-09-28,2022-10-24,30640.0,1271.56
17250525,Electric,2022-08-29,2022-09-28,38800.0,1614.77
17250525,Electric,2022-06-28,2022-08-29,82560.0,2963.87
17250525,Electric,2022-05-25,2022-06-28,40960.0,1389.94
17250525,Electric,2022-04-27,2022-05-25,33120.0,1404.98
17250525,Electric,2022-03-25,2022-04-27,38720.0,1498.34
17250525,Electric,2022-02-25,2022-03-25,33120.0,1438.03
17250525,Electric,2022-01-28,2022-02-25,33920.0,1290.36
17250525,Electric,2021-12-28,2022-01-28,36240.0,1239.53
17250525,Electric,2021-11-30,2021-12-28,32960.0,1452.69
17250525,Electric,2021-10-25,2021-11-30,41360.0,1480.91
17250525,Electric,2021-09-24,2021-10-25,39520.0,1589.25
17250525,Electric,2021-08-25,2021-09-24,42320.0,1599.11
17250525,Electric,2021-07-26,2021-08-25,41440.0,1640.36
17250525,Electric,2021-06-23,2021-07-26,44320.0,1692.63
17250525,Electric,2021-05-21,2021-06-23,40400.0,1668.33
17250525,Electric,2021-04-23,2021-05-21,29760.0,1339.32
17250525,Electric,2021-03-23,2021-04-23,33040.0,1434.5
17250525,Electric,2021-02-24,2021-03-23,27680.0,1190.96
17250525,Electric,2021-01-22,2021-02-24,34720.0,1109.88
17250525,Electric,2020-12-24,2021-01-22,60720.0,508.89
17250525,Electric,2020-11-24,2020-12-24,0.0,121.03
17250525,Electric,2020-10-26,2020-11-24,29760.0,1281.63
17250525,Electric,2020-09-23,2020-10-26,39920.0,1424.54
17250525,Electric,2020-08-25,2020-09-23,37120.0,1415.67
17250525,Electric,2020-07-23,2020-08-25,45520.0,1586.21
17250525,Electric,2020-05-26,2020-07-23,67440.0,2932.06
17250525,Electric,2020-04-27,2020-05-26,19520.0,936.91
17250525,Electric,2020-03-25,2020-04-27,42960.0,1024.74
17250525,Electric,2020-02-24,2020-03-25,44800.0,1427.32
17250525,Electric,2020-01-23,2020-02-24,47760.0,1365.82
17250525,Electric,2019-12-26,2020-01-23,38880.0,1372.8
17250525,Electric,2019-11-22,2019-12-26,50000.0,1480.19
17250525,Electric,2019-10-25,2019-11-22,43680.0,1496.24
17250525,Electric,2019-09-23,2019-10-25,51680.0,1540.22
17250525,Electric,2019-08-22,2019-09-23,53440.0,1675.0
17250525,Electric,2019-07-23,2019-08-22,49840.0,1645.16
17250525,Electric,2019-06-26,2019-07-23,46400.0,1900.8
17250525,Electric,2019-05-23,2019-06-26,53040.0,1933.55
17250525,Electric,2019-04-26,2019-05-23,40320.0,1666.07
17250525,Electric,2019-03-22,2019-04-26,51520.0,1502.35
17250525,Electric,2019-02-21,2019-03-22,43360.0,1287.3
17250525,Electric,2019-01-24,2019-02-21,40640.0,1056.44
17250525,Electric,2018-12-26,2019-01-24,40240.0,1150.51
17250525,Electric,2018-11-27,2018-12-26,42320.0,1184.94
17250525,Electric,2018-10-24,2018-11-27,51040.0,1384.23
17250525,Electric,2018-09-25,2018-10-24,47760.0,1474.4
17250525,Electric,2018-08-24,2018-09-25,56560.0,1071.68
17250525,Electric,2018-07-24,2018-08-24,53200.0,2300.97
17250525,Electric,2018-06-22,2018-07-24,52080.0,1713.97
17250525,Electric,2018-05-25,2018-06-22,44880.0,1610.72
17250525,Electric,2018-04-24,2018-05-25,48480.0,1774.35
17250525,Electric,2018-03-26,2018-04-24,41600.0,1172.8
17250525,Electric,2018-02-23,2018-03-26,39840.0,1164.0
17250525,Electric,2018-01-24,2018-02-23,38400.0,976.05
17250525,Electric,2017-12-26,2018-01-24,36240.0,1249.24
17250525,Electric,2017-11-27,2017-12-26,36960.0,1151.37
17250525,Electric,2017-10-25,2017-11-27,46400.0,1275.74
17250525,Electric,2017-09-26,2017-10-25,47360.0,1463.44
17250525,Electric,2017-08-25,2017-09-26,50880.0,1434.24
17250525,Electric,2017-07-27,2017-08-25,45040.0,1468.86
17250525,Electric,2017-06-27,2017-07-27,47520.0,1548.54
17250525,Electric,2017-05-25,2017-06-27,50160.0,1562.33
17250525,Electric,2017-04-24,2017-05-25,42480.0,1330.46
17250525,Electric,2017-03-27,2017-04-24,37120.0,1334.04
17250525,Electric,2017-02-23,2017-03-27,40160.0,1037.46
17250525,Electric,2017-01-25,2017-02-23,35600.0,946.19
17250525,Electric,2016-12-22,2017-01-25,40000.0,1181.12
17250525,Electric,2016-11-26,2016-12-22,33760.0,1216.15
17250525,Electric,2016-10-26,2016-11-26,40480.0,1307.48
17250525,Electric,2016-09-28,2016-10-26,38320.0,1196.27
17250525,Electric,2016-08-29,2016-09-28,42560.0,1336.43
17250525,Electric,2016-07-26,2016-08-29,51920.0,1409.22
17250525,Electric,2016-06-24,2016-07-26,48400.0,1551.33
17250525,Electric,2016-05-25,2016-06-24,41440.0,1479.25
17250525,Electric,2016-04-26,2016-05-25,36480.0,1335.3
17250525,Electric,2016-03-24,2016-04-26,39680.0,1579.29
17250525,Electric,2016-02-24,2016-03-24,35680.0,1196.83
17250525,Electric,2016-01-26,2016-02-24,37040.0,1118.46
17250525,Electric,2015-12-28,2016-01-26,36640.0,1078.7
17250525,Electric,2015-11-24,2015-12-28,42240.0,1291.93
17250525,Electric,2015-10-28,2015-11-24,37040.0,1292.9
17250525,Electric,2015-09-28,2015-10-28,41680.0,1488.37
17250525,Electric,2015-08-27,2015-09-28,48800.0,1509.05
17250525,Electric,2015-07-28,2015-08-27,45360.0,1521.34
17250525,Electric,2015-06-24,2015-07-28,49840.0,1572.96
17250525,Electric,2015-05-27,2015-06-24,40080.0,1197.29
17250525,Electric,2015-04-24,2015-05-27,45200.0,1356.87
17250525,Electric,2015-03-26,2015-04-24,37440.0,1528.72
17250525,Electric,2015-02-26,2015-03-26,38240.0,1214.62
17250525,Electric,2015-01-26,2015-02-26,42640.0,994.04
17250525,Electric,2014-10-25,2015-01-26,129000.0,
17250525,Electric,2014-09-26,2014-10-24,43840.0,1632.07
17250525,Electric,2014-08-28,2014-09-26,47000.0,
17250525,Electric,2014-07-26,2014-08-27,50640.0,1736.9
17250525,Electric,2014-06-25,2014-07-25,49040.0,1479.89
17250525,Electric,2014-05-28,2014-06-24,40960.0,1012.5
17250525,Electric,2014-04-25,2014-05-27,46160.0,868.14
