meter_id,ENERGY SOURCE,startDate,endDate,usage,cost
63025858,Electric,2024-03-07,2024-04-09,2600.0,342.14
63025858,Electric,2024-02-09,2024-03-07,2400.0,360.48
63025858,Electric,2024-01-30,2024-02-09,760.0,120.25
63025858,Electric,2024-01-08,2024-01-30,2200.0,156.07
63025858,Electric,2023-12-07,2024-01-08,2680.0,201.93
63025858,Electric,2023-11-06,2023-12-07,2320.0,182.94
63025858,Electric,2023-10-09,2023-11-06,2040.0,456.68
63025858,Electric,2023-09-11,2023-10-09,2560.0,475.08
63025858,Electric,2023-08-10,2023-09-11,5640.0,408.82
63025858,Electric,2023-07-12,2023-08-10,4800.0,378.49
63025858,Electric,2023-06-09,2023-07-12,5960.0,498.56
63025858,Electric,2023-05-11,2023-06-09,2160.0,162.76
63025858,Electric,2023-04-11,2023-05-11,1880.0,142.73
63025858,Electric,2023-03-10,2023-04-11,2240.0,134.63
63025858,Electric,2023-02-10,2023-03-10,2000.0,129.74
63025858,Electric,2023-01-12,2023-02-10,2160.0,136.38
63025858,Electric,2022-12-08,2023-01-12,2400.0,146.89
63025858,Electric,2022-11-07,2022-12-08,2040.0,154.06
63025858,Electric,2022-10-07,2022-11-07,1720.0,135.91
63025858,Electric,2022-09-08,2022-10-07,1800.0,465.91
63025858,Electric,2022-08-11,2022-09-08,2400.0,343.5
63025858,Electric,2022-07-11,2022-08-11,4000.0,372.46
63025858,Electric,2022-06-08,2022-07-11,3120.0,359.21
63025858,Electric,2022-05-06,2022-06-08,2560.0,308.04
63025858,Electric,2022-04-08,2022-05-06,1800.0,199.51
63025858,Electric,2022-03-10,2022-04-08,2880.0,206.11
63025858,Electric,2022-02-09,2022-03-10,4120.0,210.29
63025858,Electric,2022-01-12,2022-02-09,4880.0,197.88
63025858,Electric,2021-12-09,2022-01-12,4320.0,212.5
63025858,Electric,2021-11-05,2021-12-09,3640.0,565.59
63025858,Electric,2021-10-11,2021-11-05,1800.0,48.43
63025858,Electric,2021-09-09,2021-10-11,2600.0,373.66
63025858,Electric,2021-08-18,2021-09-09,2880.0,327.03
63025858,Electric,2021-07-07,2021-08-18,5480.0,633.02
63025858,Electric,2021-06-04,2021-07-07,3600.0,436.13
63025858,Electric,2021-05-06,2021-06-04,2200.0,290.36
63025858,Electric,2021-04-07,2021-05-06,1960.0,177.93
63025858,Electric,2021-03-09,2021-04-07,2880.0,195.89
63025858,Electric,2021-02-08,2021-03-09,4200.0,202.13
63025858,Electric,2021-01-08,2021-02-08,4800.0,198.02
63025858,Electric,2020-11-06,2021-01-08,7200.0,351.28
63025858,Electric,2020-10-08,2020-11-06,2040.0,179.09
63025858,Electric,2020-09-09,2020-10-08,1840.0,269.5
63025858,Electric,2020-08-07,2020-09-09,4280.0,431.47
63025858,Electric,2020-07-07,2020-08-07,4800.0,461.2
63025858,Electric,2020-06-08,2020-07-07,1960.0,461.81
63025858,Electric,2020-05-08,2020-06-08,2040.0,350.29
63025858,Electric,2020-03-06,2020-05-08,4160.0,476.19
63025858,Electric,2020-02-06,2020-03-06,5400.0,224.73
63025858,Electric,2020-01-09,2020-02-06,5280.0,238.68
63025858,Electric,2019-12-09,2020-01-09,5920.0,240.58
63025858,Electric,2019-11-06,2019-12-09,5960.0,270.67
63025858,Electric,2019-10-07,2019-11-06,3920.0,282.95
63025858,Electric,2019-09-06,2019-10-07,5880.0,496.56
63025858,Electric,2019-08-07,2019-09-06,7920.0,495.5
63025858,Electric,2019-07-08,2019-08-07,9560.0,561.0
63025858,Electric,2019-06-12,2019-07-08,7400.0,526.1
63025858,Electric,2019-05-07,2019-06-12,6480.0,509.52
63025858,Electric,2019-04-09,2019-05-07,4280.0,226.92
63025858,Electric,2019-03-12,2019-04-09,4600.0,236.3
63025858,Electric,2019-02-07,2019-03-12,5800.0,247.59
63025858,Electric,2019-01-09,2019-02-07,4880.0,234.97
63025858,Electric,2018-12-10,2019-01-09,4760.0,207.29
63025858,Electric,2018-11-06,2018-12-10,5480.0,244.19
63025858,Electric,2018-10-05,2018-11-06,5480.0,355.22
63025858,Electric,2018-09-07,2018-10-05,6640.0,436.76
63025858,Electric,2018-08-08,2018-09-07,10240.0,513.41
63025858,Electric,2018-07-06,2018-08-08,11800.0,552.03
63025858,Electric,2018-06-07,2018-07-06,9720.0,548.21
63025858,Electric,2018-05-07,2018-06-07,7080.0,514.51
63025858,Electric,2018-04-09,2018-05-07,4640.0,303.05
63025858,Electric,2018-03-08,2018-04-09,5240.0,214.64
63025858,Electric,2018-02-06,2018-03-08,4760.0,191.28
63025858,Electric,2018-01-10,2018-02-06,4320.0,216.94
63025858,Electric,2017-12-07,2018-01-10,6640.0,247.96
