meter_id,ENERGY SOURCE,startDate,endDate,usage,cost
157299850,Natural Gas,2023-11-21,2023-12-21,3482.9,1292.98
157299850,Natural Gas,2023-10-23,2023-11-21,2498.5,955.17
157299850,Natural Gas,2023-09-22,2023-10-23,368.1,214.16
157299850,Natural Gas,2023-08-23,2023-09-22,0.0,27.93
157299850,Natural Gas,2023-07-25,2023-08-23,0.0,27.93
157299850,Natural Gas,2023-06-21,2023-07-25,0.0,27.93
157299850,Natural Gas,2023-05-23,2023-06-21,72.8,59.99
157299850,Natural Gas,2023-04-26,2023-05-23,615.1,271.04
157299850,Natural Gas,2023-03-23,2023-04-26,2521.4,1037.88
157299850,Natural Gas,2023-02-23,2023-03-23,2847.3,947.94
157299850,Natural Gas,2023-01-25,2023-02-23,4046.1,1473.88
157299850,Natural Gas,2022-12-21,2023-01-25,3935.4,1386.9
157299850,Natural Gas,2022-11-21,2022-12-21,2921.6,933.74
157299850,Natural Gas,2022-10-24,2022-11-21,1728.1,700.27
157299850,Natural Gas,2022-09-23,2022-10-24,951.0,334.84
157299850,Natural Gas,2022-08-23,2022-09-23,0.0,27.93
157299850,Natural Gas,2022-07-22,2022-08-23,0.0,27.93
157299850,Natural Gas,2022-06-21,2022-07-22,0.0,27.93
157299850,Natural Gas,2022-05-19,2022-06-21,0.0,27.93
157299850,Natural Gas,2022-04-22,2022-05-19,660.9,341.59
157299850,Natural Gas,2022-03-22,2022-04-22,2221.5,755.76
157299850,Natural Gas,2022-02-22,2022-03-22,2881.9,1049.88
157299850,Natural Gas,2022-01-25,2022-02-22,3577.9,1165.61
157299850,Natural Gas,2021-12-27,2022-01-25,4195.0,1311.47
157299850,Natural Gas,2021-11-23,2021-12-27,3311.5,1096.18
157299850,Natural Gas,2021-10-21,2021-11-23,2035.2,747.89
157299850,Natural Gas,2021-09-20,2021-10-21,0.0,26.57
157299850,Natural Gas,2021-08-20,2021-09-20,0.0,26.57
157299850,Natural Gas,2021-07-22,2021-08-20,0.0,26.57
157299850,Natural Gas,2021-06-18,2021-07-22,0.0,26.57
157299850,Natural Gas,2021-05-19,2021-06-18,0.0,26.57
157299850,Natural Gas,2021-04-19,2021-05-19,702.0,270.27
157299851,Natural Gas,2023-11-21,2023-12-21,452.1,273.7
157299851,Natural Gas,2023-10-23,2023-11-21,255.6,169.15
157299851,Natural Gas,2023-09-22,2023-10-23,24.6,38.98
157299851,Natural Gas,2023-08-23,2023-09-22,19.5,35.7
157299851,Natural Gas,2023-07-24,2023-08-23,17.4,34.71
157299851,Natural Gas,2023-06-22,2023-07-24,18.5,35.19
157299851,Natural Gas,2023-05-23,2023-06-22,15.4,33.6
157299851,Natural Gas,2023-04-26,2023-05-23,98.4,67.98
157299851,Natural Gas,2023-03-24,2023-04-26,219.5,159.09
157299851,Natural Gas,2023-02-23,2023-03-24,442.6,242.95
157299851,Natural Gas,2023-01-25,2023-02-23,462.7,276.91
157299851,Natural Gas,2022-12-21,2023-01-25,626.8,323.62
157299851,Natural Gas,2022-11-21,2022-12-21,377.6,206.04
157299851,Natural Gas,2022-10-24,2022-11-21,238.2,161.13
157299851,Natural Gas,2022-09-23,2022-10-24,178.7,96.06
157299851,Natural Gas,2022-08-23,2022-09-23,22.6,37.03
157299851,Natural Gas,2022-07-22,2022-08-23,25.7,38.58
157299851,Natural Gas,2022-06-21,2022-07-22,19.5,35.95
157299851,Natural Gas,2022-05-19,2022-06-21,31.8,43.83
157299851,Natural Gas,2022-04-22,2022-05-19,98.7,79.5
157299851,Natural Gas,2022-03-22,2022-04-22,281.5,155.54
157299851,Natural Gas,2022-02-22,2022-03-22,453.6,262.72
157299851,Natural Gas,2022-01-25,2022-02-22,662.2,314.6
157299851,Natural Gas,2021-12-27,2022-01-25,601.6,291.0
157299851,Natural Gas,2021-11-23,2021-12-27,428.4,234.27
157299851,Natural Gas,2021-10-21,2021-11-23,280.9,168.43
157299851,Natural Gas,2021-09-20,2021-10-21,61.7,67.12
157299851,Natural Gas,2021-08-20,2021-09-20,18.5,34.06
157299851,Natural Gas,2021-07-22,2021-08-20,16.4,32.94
157299851,Natural Gas,2021-06-18,2021-07-22,21.6,34.95
157299851,Natural Gas,2021-05-19,2021-06-18,21.6,32.88
157299851,Natural Gas,2021-04-19,2021-05-19,177.8,91.98
157299852,Natural Gas,2023-11-20,2023-12-20,338.0,215.35
157299852,Natural Gas,2023-10-23,2023-11-20,214.5,148.6
157299852,Natural Gas,2023-09-25,2023-10-23,118.9,87.16
157299852,Natural Gas,2023-08-23,2023-09-25,15.4,33.77
157299852,Natural Gas,2023-07-25,2023-08-23,5.1,28.94
157299852,Natural Gas,2023-06-21,2023-07-25,5.1,28.92
157299852,Natural Gas,2023-05-23,2023-06-21,18.5,35.02
157299852,Natural Gas,2023-04-26,2023-05-23,119.9,76.99
157299852,Natural Gas,2023-03-24,2023-04-26,254.4,180.32
157299852,Natural Gas,2023-02-23,2023-03-24,385.1,214.83
157299852,Natural Gas,2023-01-25,2023-02-23,382.7,240.67
157299852,Natural Gas,2022-12-21,2023-01-25,323.2,201.34
157299852,Natural Gas,2022-11-21,2022-12-21,453.6,242.18
157299852,Natural Gas,2022-10-24,2022-11-21,307.0,200.15
157299852,Natural Gas,2022-09-23,2022-10-24,162.3,89.6
157299852,Natural Gas,2022-08-23,2022-09-23,47.2,48.48
157299852,Natural Gas,2022-07-22,2022-08-23,4.1,28.46
157299852,Natural Gas,2022-06-21,2022-07-22,2.1,27.97
157299852,Natural Gas,2022-05-19,2022-06-21,29.8,42.75
157299852,Natural Gas,2022-04-22,2022-05-19,97.6,78.92
157299852,Natural Gas,2022-03-22,2022-04-22,270.2,150.35
157299852,Natural Gas,2022-02-22,2022-03-22,426.8,248.68
157299852,Natural Gas,2022-01-25,2022-02-22,741.5,337.82
157299852,Natural Gas,2021-12-27,2022-01-25,686.1,315.06
157299852,Natural Gas,2021-11-23,2021-12-27,513.8,271.12
157299852,Natural Gas,2021-10-21,2021-11-23,361.1,209.31
157299852,Natural Gas,2021-09-20,2021-10-21,47.3,57.3
157299852,Natural Gas,2021-08-20,2021-09-20,13.4,31.62
157299852,Natural Gas,2021-07-22,2021-08-20,22.6,35.85
157299852,Natural Gas,2021-06-18,2021-07-22,19.5,34.01
157299852,Natural Gas,2021-05-19,2021-06-18,19.5,31.88
157299852,Natural Gas,2021-04-19,2021-05-19,154.2,82.47
157299853,Electric,2023-11-21,2023-12-21,7300.0,366.57
157299853,Electric,2023-10-23,2023-11-21,6000.0,760.32
157299853,Electric,2023-09-22,2023-10-23,6400.0,681.07
157299853,Electric,2023-08-23,2023-09-22,6500.0,963.52
157299853,Electric,2023-07-25,2023-08-23,3800.0,405.81
157299853,Electric,2023-06-21,2023-07-25,3600.0,411.96
157299853,Electric,2023-05-23,2023-06-21,4400.0,705.14
157299853,Electric,2023-04-26,2023-05-23,5100.0,664.66
157299853,Electric,2023-03-24,2023-04-26,8800.0,834.52
157299853,Electric,2023-02-23,2023-03-24,6700.0,740.38
157299853,Electric,2023-01-25,2023-02-23,6000.0,749.53
157299853,Electric,2023-01-06,2023-01-25,5500.0,461.65
157299853,Electric,2022-12-21,2023-01-06,3300.0,28.07
157299853,Electric,2022-10-24,2022-12-21,11800.0,1803.66
157299853,Electric,2022-09-23,2022-10-24,5600.0,709.81
157299853,Electric,2022-08-23,2022-09-23,5000.0,682.11
157299853,Electric,2022-06-21,2022-08-23,4000.0,588.1
157299853,Electric,2022-05-19,2022-06-21,4500.0,836.77
157299853,Electric,2022-04-22,2022-05-19,6800.0,845.97
157299853,Electric,2022-03-22,2022-04-22,7000.0,709.61
157299853,Electric,2022-02-22,2022-03-22,7200.0,829.71
157299853,Electric,2022-01-25,2022-02-22,3500.0,356.18
157299853,Electric,2021-12-27,2022-01-25,3500.0,316.14
157299853,Electric,2021-11-23,2021-12-27,7200.0,974.16
157299853,Electric,2021-10-21,2021-11-23,5700.0,766.62
157299853,Electric,2021-09-20,2021-10-21,4500.0,478.87
157299853,Electric,2021-08-20,2021-09-20,5100.0,697.73
157299853,Electric,2021-07-22,2021-08-20,3400.0,457.3
157299853,Electric,2021-06-18,2021-07-22,4200.0,461.29
157299853,Electric,2021-05-19,2021-06-18,3500.0,418.48
157299853,Electric,2021-04-21,2021-05-19,3000.0,1353.13
157299853,Electric,2021-03-21,2021-04-21,3200.0,559.54
157299854,Electric,2023-11-20,2023-12-20,169.0,38.74
157299854,Electric,2023-10-23,2023-11-20,214.0,41.1
157299854,Electric,2023-09-25,2023-10-23,239.0,38.65
157299854,Electric,2023-08-23,2023-09-25,299.0,43.25
157299854,Electric,2023-07-25,2023-08-23,136.0,31.55
157299854,Electric,2023-06-21,2023-07-25,130.0,31.08
157299854,Electric,2023-05-23,2023-06-21,78.0,27.28
157299854,Electric,2023-04-26,2023-05-23,48.0,25.12
157299854,Electric,2023-03-24,2023-04-26,84.0,27.79
157299854,Electric,2023-02-23,2023-03-24,61.0,25.86
157299854,Electric,2023-01-25,2023-02-23,74.0,26.76
157299854,Electric,2022-12-21,2023-01-25,8.0,22.16
157299854,Electric,2022-11-21,2022-12-21,75.0,26.59
157299854,Electric,2022-10-24,2022-11-21,70.0,26.37
157299854,Electric,2022-09-23,2022-10-24,78.0,27.23
157299854,Electric,2022-08-23,2022-09-23,54.0,25.37
157299854,Electric,2022-07-22,2022-08-23,48.0,24.85
157299854,Electric,2022-06-21,2022-07-22,61.0,26.1
157299854,Electric,2022-05-19,2022-06-21,65.0,26.17
157299854,Electric,2022-04-22,2022-05-19,18.0,22.5
