startDate,endDate,usage,cost,meterId
2023-09-01,2023-12-01,308,5300.68,36262358
2023-06-01,2023-09-01,333,5730.93,36262358
2023-03-01,2023-06-01,329,5662.09,36262358
2022-12-01,2023-03-01,289,4554.64,36262358
2022-09-01,2022-12-01,310,4885.6,36262358
2022-06-01,2022-09-01,303,4776.28,36262358
2022-05-01,2022-06-01,327,5153.52,36262358
2022-02-01,2022-05-01,328,5169.28,36262358
2021-11-01,2022-02-01,316,4980.16,36262358
2021-08-01,2021-11-01,337,5311.12,36262358
2021-05-01,2021-08-01,336,4861.92,36262358
2021-02-01,2021-05-01,199,2879.53,36262358
2020-11-01,2021-02-01,177,2561.19,36262358
2020-08-01,2020-11-01,167,2416.49,36262358
2020-05-01,2020-08-01,394,5701.18,36262358
2020-02-01,2020-05-01,368,5324.96,36262358
2019-11-01,2020-02-01,388,5307.84,36262358
2019-08-01,2019-11-01,392,5362.56,36262358
2019-05-01,2019-08-01,366,5006.88,36262358
2019-02-01,2019-05-01,355,4856.4,36262358
2018-11-01,2019-02-01,462,5885.88,36262358
2018-08-01,2018-11-01,403,5134.22,36262358
2018-05-01,2018-08-01,361,4599.14,36262358
2018-02-01,2018-05-01,378,4815.72,36262358
2017-11-01,2018-02-01,521,6371.83,36262358
2017-08-01,2017-11-01,434,5307.82,36262358
2017-05-01,2017-08-01,393,4806.39,36262358
2017-02-01,2017-05-01,360,4402.8,36262358
2016-11-01,2017-02-01,475,5557.5,36262358
2016-08-01,2016-11-01,421,4925.7,36262358
2016-05-01,2016-08-01,368,4305.6,36262358
2016-02-01,2016-05-01,362,4235.4,36262358
