startDate,endDate,usage,cost,meterId
2023-11-01,2024-02-01,23,550.72,73175980
2023-08-01,2023-11-01,59,1015.39,73175980
2023-05-01,2023-08-01,11,504.32,73175980
2023-02-01,2023-05-01,14,504.32,73175980
2022-11-01,2023-02-01,10,504.32,73175980
2022-08-01,2022-11-01,9,504.32,73175980
2022-05-01,2022-08-01,10,504.32,73175980
2022-02-01,2022-05-01,11,504.32,73175980
2021-11-01,2022-02-01,7,504.32,73175980
2021-08-01,2021-11-01,8,463.04,73175980
2021-05-01,2021-08-01,15,463.04,73175980
2021-02-01,2021-05-01,13,463.04,73175980
2020-11-01,2021-02-01,6,463.04,73175980
2020-08-01,2020-11-01,41,593.27,73175980
2020-05-01,2020-08-01,14,463.04,73175980
2020-02-01,2020-05-01,37,535.39,73175980
2019-11-01,2020-02-01,53,725.04,73175980
2019-08-01,2019-11-01,60,820.8,73175980
2019-05-01,2019-08-01,51,697.68,73175980
2019-02-01,2019-05-01,47,642.96,73175980
2018-11-01,2019-02-01,48,611.52,73175980
2018-08-01,2018-11-01,43,547.82,73175980
2018-05-01,2018-08-01,19,407.68,73175980
2018-02-01,2018-05-01,19,407.68,73175980
2017-11-01,2018-02-01,19,391.36,73175980
2017-08-01,2017-11-01,19,391.36,73175980
2017-05-01,2017-08-01,20,391.36,73175980
2017-02-01,2017-05-01,18,391.36,73175980
