startDate,endDate,usage,cost,meterId
2023-09-01,2023-12-01,45,1927.52,9658943
2023-06-01,2023-09-01,44,1927.52,9658943
2023-03-01,2023-06-01,50,1765.12,9658943
2022-12-01,2023-03-01,43,1765.12,9658943
2022-09-01,2022-12-01,42,1765.12,9658943
2022-06-01,2022-09-01,42,1765.12,9658943
2022-03-01,2022-06-01,45,1765.12,9658943
2021-12-01,2022-03-01,35,1765.12,9658943
2021-09-01,2021-12-01,38,1620.64,9658943
2021-06-01,2021-09-01,43,1620.64,9658943
2021-03-01,2021-06-01,35,1620.64,9658943
2020-12-01,2021-03-01,31,1620.64,9658943
2020-09-01,2020-12-01,41,1620.64,9658943
2020-06-01,2020-09-01,42,1620.64,9658943
2020-03-01,2020-06-01,39,1620.64,9658943
2019-12-01,2020-03-01,57,1620.64,9658943
2019-09-01,2019-12-01,57,1532.16,9658943
2019-05-31,2019-09-01,57,1532.16,9658943
2019-03-01,2019-05-31,56,1532.16,9658943
2018-12-01,2019-03-01,54,1532.16,9658943
2018-09-01,2018-12-01,56,1426.88,9658943
2018-05-31,2018-09-01,57,1426.88,9658943
2018-03-01,2018-05-31,59,1426.88,9658943
2017-12-01,2018-03-01,57,1426.88,9658943
2017-09-01,2017-12-01,56,1369.76,9658943
2017-05-31,2017-09-01,57,1369.76,9658943
2017-03-01,2017-05-31,57,1369.76,9658943
2016-12-01,2017-03-01,56,1369.76,9658943
2016-09-01,2016-12-01,55,1310.4,9658943
2016-06-01,2016-09-01,56,1310.4,9658943
2016-03-01,2016-06-01,60,1310.4,9658943
2015-12-01,2016-03-01,54,1310.4,9658943
